"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6605","IN-31: Admin > Clients > New Client > Shipping Address > Verificar que el botón ""Copy Billing"" copie los datos de Billing Address a Shipping Address","chromium","Thu Nov 20 04:58:11 UTC 2025","passed","Thu Nov 20 04:58:17 UTC 2025","Clients Edit Tests","clients/editClients.spec.ts","",""
"","23650","IN-21: Admin > Clients > Actions > Verificar que archive un cliente","chromium","Thu Nov 20 04:53:49 UTC 2025","failed","Thu Nov 20 04:54:13 UTC 2025","Clientes Principal Page Tests","clients/clients.spec.ts","",""
"","8538","IN-10: Admin > Clients > Buscar Cliente por Nombre de Compañía","chromium","Thu Nov 20 04:52:44 UTC 2025","passed","Thu Nov 20 04:52:52 UTC 2025","Clientes Principal Page Tests","clients/clients.spec.ts","",""
"","8221","IN-9: Admin > Clients > Verificar ordenamiento de la columna Website","chromium","Thu Nov 20 04:57:23 UTC 2025","passed","Thu Nov 20 04:57:31 UTC 2025","Clientes Principal Page Tests","clients/clients.spec.ts","",""
"","11664","IN-145: Admin > Clients > Actions > Verificar que elimine un cliente activo","chromium","Thu Nov 20 04:54:54 UTC 2025","failed","Thu Nov 20 04:55:06 UTC 2025","Clientes Principal Page Tests","clients/clients.spec.ts","",""
"","8215","IN-7: Admin > Clients > Verificar ordenamiento de la columna Paid to Date","chromium","Thu Nov 20 04:56:58 UTC 2025","passed","Thu Nov 20 04:57:07 UTC 2025","Clientes Principal Page Tests","clients/clients.spec.ts","",""
"","8340","IN-6: Admin > Clients > Verificar ordenamiento de la columna Balance","chromium","Thu Nov 20 04:56:50 UTC 2025","passed","Thu Nov 20 04:56:58 UTC 2025","Clientes Principal Page Tests","clients/clients.spec.ts","",""
"","9155","IN-3: Admin > Clients > Verificar ordenamiento de la columna Name","chromium","Thu Nov 20 04:56:24 UTC 2025","passed","Thu Nov 20 04:56:33 UTC 2025","Clientes Principal Page Tests","clients/clients.spec.ts","",""
"","3159","IN-187: Admin > Products > Verificar que se muestre la Tabla de Productos con las columnas por defecto","chromium","Thu Nov 20 04:59:46 UTC 2025","passed","Thu Nov 20 04:59:49 UTC 2025","Products Principal Page Tests","products/products.spec.ts","",""
"","8276","IN-272: Admin > Clients > Verificar ordenamiento de la columna Date Created","chromium","Thu Nov 20 04:57:07 UTC 2025","passed","Thu Nov 20 04:57:15 UTC 2025","Clientes Principal Page Tests","clients/clients.spec.ts","",""
"","10918","IN-193: Admin > Products > Crear Producto con los campos mínimos requeridos","chromium","Thu Nov 20 04:59:11 UTC 2025","passed","Thu Nov 20 04:59:22 UTC 2025","Products Principal Page Tests","products/createProducts.spec.ts","",""
"","3844","IN-270: Verificar login con usuario correcto","chromium","Thu Nov 20 04:58:55 UTC 2025","passed","Thu Nov 20 04:58:59 UTC 2025","Login Tests","login/login.spec.ts","",""
"","8227","IN-273: Admin > Clients > Verificar ordenamiento de la columna Last Login","chromium","Thu Nov 20 04:57:15 UTC 2025","passed","Thu Nov 20 04:57:23 UTC 2025","Clientes Principal Page Tests","clients/clients.spec.ts","",""
