"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14248","IN-21: Admin > Clients > Actions > Verificar que archive un cliente","chromium","Sat Nov 08 16:28:38 UTC 2025","passed","Sat Nov 08 16:28:53 UTC 2025","Clientes Principal Page Tests","clients/clients.spec.ts","",""
"","14563","IN-268: Admin > Clients > Actions > Verificar que la función ""Bulk Update"" realice una actualización masiva a la columna de los clientes seleccionados","chromium","Sat Nov 08 16:29:21 UTC 2025","passed","Sat Nov 08 16:29:36 UTC 2025","Clientes Principal Page Tests","clients/clients.spec.ts","",""
"","8127","IN-7: Admin > Clients > Verificar ordenamiento de la columna Paid to Date","chromium","Sat Nov 08 16:30:09 UTC 2025","passed","Sat Nov 08 16:30:17 UTC 2025","Clientes Principal Page Tests","clients/clients.spec.ts","",""
"","8041","IN-10: Admin > Clients > Buscar Cliente por Nombre de Compañía","chromium","Sat Nov 08 16:28:24 UTC 2025","passed","Sat Nov 08 16:28:32 UTC 2025","Clientes Principal Page Tests","clients/clients.spec.ts","",""
"","12060","IN-270: Verificar login con usuario incorrecto","chromium","Sat Nov 08 16:31:20 UTC 2025","passed","Sat Nov 08 16:31:32 UTC 2025","Login Tests","login/login.spec.ts","",""
"","8145","IN-6: Admin > Clients > Verificar ordenamiento de la columna Balance","chromium","Sat Nov 08 16:30:01 UTC 2025","passed","Sat Nov 08 16:30:09 UTC 2025","Clientes Principal Page Tests","clients/clients.spec.ts","",""
"","3609","IN-270: Verificar login con usuario correcto","chromium","Sat Nov 08 16:31:16 UTC 2025","passed","Sat Nov 08 16:31:20 UTC 2025","Login Tests","login/login.spec.ts","",""
"","15138","IN-19: Admin > Clients > Verificar que edite un nombre del cliente","chromium","Sat Nov 08 16:31:01 UTC 2025","passed","Sat Nov 08 16:31:16 UTC 2025","Clients Edit Tests","clients/editClients.spec.ts","",""
"","10672","IN-206: Admin > Products > Actions > Verificar que elimine un producto activo","chromium","Sat Nov 08 16:32:09 UTC 2025","passed","Sat Nov 08 16:32:19 UTC 2025","Products Principal Page Tests","products/products.spec.ts","",""
"","10660","IN-193: Admin > Products > Crear Producto con los campos mínimos requeridos","chromium","Sat Nov 08 16:31:32 UTC 2025","passed","Sat Nov 08 16:31:43 UTC 2025","Products Principal Page Tests","products/createProducts.spec.ts","",""
"","6299","IN-31: Admin > Clients > New Client > Shipping Address > Verificar que el botón ""Copy Billing"" copie los datos de Billing Address a Shipping Address","chromium","Sat Nov 08 16:30:54 UTC 2025","passed","Sat Nov 08 16:31:01 UTC 2025","Clients Edit Tests","clients/editClients.spec.ts","",""
"","11635","IN-195: Admin > Products > Verificar que edite un nombre del producto","chromium","Sat Nov 08 16:31:54 UTC 2025","passed","Sat Nov 08 16:32:06 UTC 2025","Products Principal Page Tests","products/products.spec.ts","",""
"","8165","IN-4: Admin > Clients > Verificar ordenamiento de la columna Contact Email","chromium","Sat Nov 08 16:29:44 UTC 2025","passed","Sat Nov 08 16:29:52 UTC 2025","Clientes Principal Page Tests","clients/clients.spec.ts","",""
"","8066","IN-273: Admin > Clients > Verificar ordenamiento de la columna Last Login","chromium","Sat Nov 08 16:30:25 UTC 2025","passed","Sat Nov 08 16:30:33 UTC 2025","Clientes Principal Page Tests","clients/clients.spec.ts","",""
"","3000","IN-187: Admin > Products > Verificar que se muestre la Tabla de Productos con las columnas por defecto","chromium","Sat Nov 08 16:32:06 UTC 2025","passed","Sat Nov 08 16:32:09 UTC 2025","Products Principal Page Tests","products/products.spec.ts","",""
"","5129","IN-2: Admin > Clients > Verificar que se muestren las columnas por defecto en la Tabla de Clientes","chromium","Sat Nov 08 16:28:33 UTC 2025","passed","Sat Nov 08 16:28:38 UTC 2025","Clientes Principal Page Tests","clients/clients.spec.ts","",""
"","12770","IN-146: Admin > Clients > Actions > Verificar que purge un cliente","chromium","Sat Nov 08 16:29:09 UTC 2025","passed","Sat Nov 08 16:29:21 UTC 2025","Clientes Principal Page Tests","clients/clients.spec.ts","",""
"","8225","IN-3: Admin > Clients > Verificar ordenamiento de la columna Name","chromium","Sat Nov 08 16:29:36 UTC 2025","passed","Sat Nov 08 16:29:44 UTC 2025","Clientes Principal Page Tests","clients/clients.spec.ts","",""
"","8227","IN-272: Admin > Clients > Verificar ordenamiento de la columna Date Created","chromium","Sat Nov 08 16:30:17 UTC 2025","passed","Sat Nov 08 16:30:25 UTC 2025","Clientes Principal Page Tests","clients/clients.spec.ts","",""
"","16068","IN-145: Admin > Clients > Actions > Verificar que elimine un cliente activo","chromium","Sat Nov 08 16:28:53 UTC 2025","passed","Sat Nov 08 16:29:09 UTC 2025","Clientes Principal Page Tests","clients/clients.spec.ts","",""
"","8201","IN-5: Admin > Clients > Verificar ordenamiento de la columna ID Number","chromium","Sat Nov 08 16:29:52 UTC 2025","passed","Sat Nov 08 16:30:01 UTC 2025","Clientes Principal Page Tests","clients/clients.spec.ts","",""
"","8084","IN-9: Admin > Clients > Verificar ordenamiento de la columna Website","chromium","Sat Nov 08 16:30:33 UTC 2025","passed","Sat Nov 08 16:30:41 UTC 2025","Clientes Principal Page Tests","clients/clients.spec.ts","",""
"","10685","IN-193: Admin > Products > Crear Producto con los campos mínimos requeridos","chromium","Sat Nov 08 16:31:43 UTC 2025","passed","Sat Nov 08 16:31:54 UTC 2025","Products Principal Page Tests","products/products.spec.ts","",""
"","12271","IN-16: Admin > Clients > Crear Cliente con los campos minimos requeridos","chromium","Sat Nov 08 16:30:42 UTC 2025","passed","Sat Nov 08 16:30:54 UTC 2025","Clientes Principal Page Tests","clients/createClients.spec.ts","",""
